KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,41,2,1753,4106,S,08G,0c,3U,Og,0,1,,1,65,,92,68,,1,282,282,57,41,1,5,1968
11,68,41,2,621,4107,S,09H,4c,3U,So,0,1,,1,66,,125,68,,1,282,282,57,41,1,4,1968
11,68,41,2,940,4108,F,09H,4c,3U,So,0,1,,1,55,,125,68,,1,282,282,57,41,1,4,1968
11,68,41,2,1654,4109,D,11H,4h,3U,Up,0,1,,1,65,,174,68,,1,282,282,57,41,1,4,1968
11,68,40,7,1027,4110,K,11H,1a,3U,Vs,1,1,,1,70,,145,67,,1,645,280,56,40,1,4,1968
11,68,40,7,1217,4111,K,11H,1a,3U,Vs,1,2,1,,60,,145,67,,1,645,280,56,40,2,4,1968
11,68,42,2,326,4112,V,18C,0f,1L,Hr,1,2,,,76,,299,67,,1,654,289,58,42,2,2,1968
11,68,42,4,432,4113,V,18C,0f,1L,Hr,1,1,,1,81,,299,67,,1,656,291,59,42,1,2,1968
11,68,42,5,1754,4114,F,11C,6j,2H,Vr,0,2,1,,63,,288,68,,1,292,292,59,42,2,3,1968
11,68,42,5,941,4115,F,09H,4c,3U,So,0,1,,1,60,,125,68,,1,292,292,59,42,1,4,1968
